CCMS ID,Timestamp,CCMS kWh,Grid kVAh,Meter ON Duration,ON Load Duration,Expected kWh
SMR03-0219-0792,2019-04-30 00:00:00,53.07,53.45,23:15:1,10:13:17,52.84
SMR03-0219-0792,2019-04-29 00:00:00,54.45,54.86,23:19:30,10:25:20,53.88
SMR03-0219-0792,2019-04-28 00:00:00,59.19,55.84,23:58:29,10:48:38,55.89
SMR03-0219-0792,2019-04-27 00:00:00,52.49,52.88,23:58:40,11:21:3,58.68
SMR03-0219-0792,2019-04-26 00:00:00,45.57,45.92,23:57:51,10:51:38,56.15
SMR03-0219-0792,2019-04-25 00:00:00,46.16,46.49,23:9:22,10:45:49,55.65
SMR03-0219-0792,2019-04-24 00:00:00,47.49,47.82,23:52:29,10:54:43,56.41
SMR03-0219-0792,2019-04-23 00:00:00,48.89,49.2,23:57:22,10:54:58,56.44
SMR03-0219-0792,2019-04-22 00:00:00,49.15,49.48,23:52:17,10:57:49,56.68
SMR03-0219-0792,2019-04-21 00:00:00,48.73,49.08,23:50:33,10:55:5,56.45
SMR03-0219-0792,2019-04-20 00:00:00,49.76,50.12,23:58:28,11:0:58,56.95
SMR03-0219-0792,2019-04-19 00:00:00,49.94,50.29,23:58:40,11:2:35,57.09
SMR03-0219-0792,2019-04-18 00:00:00,50.11,50.49,23:25:26,10:57:49,56.68
SMR03-0219-0792,2019-04-17 00:00:00,35.22,35.5,19:3:30,8:4:20,41.73
SMR03-0219-0792,2019-04-16 00:00:00,40.58,40.88,21:27:11,9:10:12,47.41
SMR03-0219-0792,2019-04-15 00:00:00,50.56,50.84,23:50:2,11:4:49,57.29
SMR03-0219-0792,2019-04-14 00:00:00,43.7,43.94,22:9:11,9:23:11,48.53
SMR03-0219-0792,2019-04-13 00:00:00,48.48,48.75,23:28:40,10:46:56,55.74
SMR03-0219-0792,2019-04-12 00:00:00,49.12,49.39,23:21:44,11:13:55,58.07
SMR03-0219-0792,2019-04-11 00:00:00,51.94,52.23,23:46:55,11:15:24,58.2
SMR03-0219-0792,2019-04-10 00:00:00,54.82,55.14,23:56:49,11:16:28,58.29
SMR03-0219-0792,2019-04-09 00:00:00,56.63,56.98,23:49:15,11:14:10,58.09
SMR03-0219-0792,2019-04-08 00:00:00,52.07,52.32,23:4:6,11:18:33,58.47
SMR03-0219-0792,2019-04-07 00:00:00,57.75,58.1,23:30:22,11:1:26,56.99
SMR03-0219-0792,2019-04-06 00:00:00,55.27,55.61,23:20:13,10:49:12,55.94
SMR03-0219-0792,2019-04-05 00:00:00,53.17,53.49,22:55:59,10:22:55,53.67
SMR03-0219-0792,2019-04-04 00:00:00,59.3,59.68,23:51:29,11:27:20,59.23
SMR03-0219-0792,2019-04-03 00:00:00,59.04,59.43,23:55:46,11:29:0,59.37
SMR03-0219-0792,2019-04-02 00:00:00,58.77,59.17,23:58:28,11:30:32,59.5
SMR03-0219-0792,2019-04-01 00:00:00,59.36,89.54,23:58:39,11:32:24,59.66
