CCMS ID,Timestamp,KWh,KVAh,Vr (Volt),Vy (Volt),Vb (Volt),Ir (Amp),Iy (Amp),Ib (Amp),Freq (Hz),PF Total,Total Load
SMR03-0219-0252,2019-05-01 23:00:00,2.732,2.752,233.23,234.3,235.21,10.31,5.41,5.79,50.08,0.955  Ld,5.17
SMR03-0219-0252,2019-05-01 22:00:00,5.108,5.143,236.64,238,238.73,10.53,5.4,5.78,50.08,0.987  Ld,5.17
SMR03-0219-0252,2019-05-01 21:00:00,5.12,5.156,237.01,238.69,239.36,10.54,5.4,5.79,50.1,0.987  Ld,5.17
SMR03-0219-0252,2019-05-01 20:00:00,4.985,5.025,237.29,238.79,239.56,9.71,5.42,5.79,50.07,0.985  Ld,5.17
SMR03-0219-0252,2019-05-01 19:00:00,0.372,0.375,244.08,245.06,245.75,0.52,0.26,0.26,50.24,0.87  Lag,5.17
SMR03-0219-0252,2019-05-01 18:00:00,0,0,241,241.85,242.38,0,0,0,50.11,--,5.17
SMR03-0219-0252,2019-05-01 17:00:00,0,0,239.73,240.39,240.82,0,0,0,50.06,--,5.17
SMR03-0219-0252,2019-05-01 16:00:00,0,0,238.14,238.96,239.35,0,0,0,50.01,--,5.17
SMR03-0219-0252,2019-05-01 15:00:00,0,0,241.32,241.94,242.5,0,0,0,50,--,5.17
SMR03-0219-0252,2019-05-01 14:00:00,0,0,244.48,244.98,245.67,0,0,0,50.05,--,5.17
SMR03-0219-0252,2019-05-01 13:00:00,0,0,243.99,244.54,245.26,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-05-01 12:00:00,0,0,243.82,244.59,245.16,0,0,0,50.04,--,5.17
SMR03-0219-0252,2019-05-01 11:00:00,0,0,244.05,244.75,245.51,0,0,0,50.17,--,5.17
SMR03-0219-0252,2019-05-01 10:00:00,0,0,246.35,246.96,247.61,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-05-01 09:00:00,0,0,250.94,251.58,252.25,0,0,0,50.21,--,5.17
SMR03-0219-0252,2019-05-01 08:00:00,0,0,251.32,252,252.41,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-05-01 07:00:00,0,0,249.03,249.43,250.21,0,0,0,50.11,--,5.17
SMR03-0219-0252,2019-05-01 06:00:00,3.355,3.387,247.29,248.34,249.27,6.96,3.93,4.21,50.06,0.387  Ld,5.17
SMR03-0219-0252,2019-05-01 05:00:00,5.052,5.095,245.06,246.21,246.95,10.37,5.23,5.61,50.05,0.981  Ld,5.17
SMR03-0219-0252,2019-05-01 04:00:00,5.156,5.194,243.35,244.27,245.12,10.4,5.26,5.63,50.13,0.981  Ld,5.17
SMR03-0219-0252,2019-05-01 03:00:00,5.146,5.183,240.55,241.47,242.28,10.51,5.36,5.72,50.1,0.986  Ld,5.17
SMR03-0219-0252,2019-05-01 02:00:00,5.149,5.185,235.94,236.88,237.74,10.74,5.5,5.87,50.07,0.986  Ld,5.17
SMR03-0219-0252,2019-05-01 01:00:00,3.218,3.24,234.46,235.98,236.67,10.86,5.56,5.94,49.99,0.937  Ld,5.17
SMR03-0219-0252,2019-05-01 00:00:00,4.783,4.816,230.43,231.22,231.92,11.04,5.68,6.55,50.01,0.937  Ld,5.17
SMR03-0219-0252,2019-04-30 23:00:00,2.867,2.887,231.68,232.71,233.48,10.74,5.52,6.38,50.04,0.986  Ld,5.17
SMR03-0219-0252,2019-04-30 22:00:00,5.231,5.268,234.96,236.24,236.85,10.55,5.42,6.26,50.03,0.986  Ld,5.17
SMR03-0219-0252,2019-04-30 21:00:00,5.225,5.261,236.29,237.72,237.91,10.25,5.43,6.29,50.13,0.985  Ld,5.17
SMR03-0219-0252,2019-04-30 20:00:00,5.072,5.115,238.18,239.57,239.84,9.69,5.41,6.26,50.09,0.985  Ld,5.17
SMR03-0219-0252,2019-04-30 19:00:00,0.43,0.433,243.79,244.65,245.14,0.6,0.3,0.3,50.16,0.849  Lag,5.17
SMR03-0219-0252,2019-04-30 18:00:00,0,0,240.24,241.25,241.37,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-30 17:00:00,0,0,237.13,237.8,238.2,0,0,0,50.05,--,5.17
SMR03-0219-0252,2019-04-30 16:00:00,0,0,235.99,236.89,237.11,0,0,0,50.06,--,5.17
SMR03-0219-0252,2019-04-30 15:00:00,0,0,238.03,238.53,238.9,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-30 14:00:00,0,0,244.36,245.01,245.32,0,0,0,50.14,--,5.17
SMR03-0219-0252,2019-04-30 13:00:00,0,0,241.65,242.43,242.54,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-30 12:00:00,0,0,241.53,242.13,242.41,0,0,0,50.1,--,5.17
SMR03-0219-0252,2019-04-30 11:00:00,0,0,241.9,242.57,243,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-30 10:00:00,0,0,244.43,244.98,245.6,0,0,0,50.07,--,5.17
SMR03-0219-0252,2019-04-30 09:00:00,0,0,249.8,250.35,251.02,0,0,0,50.09,--,5.17
SMR03-0219-0252,2019-04-30 08:00:00,0,0,249.13,249.52,250.15,0,0,0,50.06,--,5.17
SMR03-0219-0252,2019-04-30 07:00:00,0,0,248.04,248.12,249.02,0,0,0,50.11,--,5.17
SMR03-0219-0252,2019-04-30 06:00:00,3.617,3.646,245.92,246.43,247.32,7.52,4.03,4.63,50.07,0.413  Ld,5.17
SMR03-0219-0252,2019-04-30 05:00:00,5.264,5.304,245.16,246,246.75,10.33,5.22,6.05,49.96,0.986  Ld,5.17
SMR03-0219-0252,2019-04-30 04:00:00,5.178,5.216,243.38,244.25,245.15,10.4,5.25,5.61,50.1,0.986  Ld,5.17
SMR03-0219-0252,2019-04-30 03:00:00,5.14,5.178,239.69,240.63,241.5,10.52,5.34,5.71,50.03,0.987  Ld,5.17
SMR03-0219-0252,2019-04-30 02:00:00,5.134,5.169,236.32,237.29,238.14,10.63,5.43,5.8,50.08,0.987  Ld,5.17
SMR03-0219-0252,2019-04-30 01:00:00,5.128,5.162,232.43,233.25,234.08,10.77,5.53,5.9,50.01,0.987  Ld,5.17
SMR03-0219-0252,2019-04-30 00:00:00,4.738,4.769,230.35,231.33,232.26,10.93,5.64,5.97,49.96,0.987  Ld,5.17
SMR03-0219-0252,2019-04-29 23:00:00,4.305,4.335,232.2,233.15,233.87,10.61,5.44,6.27,51.51,0.981  Ld,5.17
SMR03-0219-0252,2019-04-29 22:00:00,5.196,5.232,235.88,237.1,237.81,10.5,5.39,6.22,50.09,0.987  Ld,5.17
SMR03-0219-0252,2019-04-29 21:00:00,5.218,5.253,234.41,235.67,236.29,10.66,5.47,6.32,50.08,0.987  Ld,5.17
SMR03-0219-0252,2019-04-29 20:00:00,4.516,4.554,236.09,237.55,237.8,9.79,5.47,6.31,50.1,0.979  Ld,5.17
SMR03-0219-0252,2019-04-29 19:00:00,0.483,0.487,243.93,244.76,245.2,0.66,0.33,0.33,50.26,0.832  Lag,5.17
SMR03-0219-0252,2019-04-29 18:00:00,0,0,242.43,243.43,243.84,0,0,0,50.05,--,5.17
SMR03-0219-0252,2019-04-29 17:00:00,0,0,242.26,243.22,243.6,0,0,0,50.07,--,5.17
SMR03-0219-0252,2019-04-29 16:00:00,0,0,242.69,243.68,243.93,0,0,0,50.05,--,5.17
SMR03-0219-0252,2019-04-29 15:00:00,0,0,243.46,244.14,244.4,0,0,0,50.07,--,5.17
SMR03-0219-0252,2019-04-29 14:00:00,0,0,247.44,248.36,248.68,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-29 13:00:00,0,0,244.32,245.12,245.38,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-29 12:00:00,0,0,244.14,244.99,245.11,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-29 11:00:00,0,0,243.28,244.07,244.59,0,0,0,50.13,--,5.17
SMR03-0219-0252,2019-04-29 10:00:00,0,0,245.58,246.18,246.79,0,0,0,50.05,--,5.17
SMR03-0219-0252,2019-04-29 09:00:00,0,0,250.66,251.06,251.77,0,0,0,50.04,--,5.17
SMR03-0219-0252,2019-04-29 08:00:00,0,0,251.27,251.92,252.56,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-29 07:00:00,0,0,249.84,250.17,251.02,0,0,0,50.03,--,5.17
SMR03-0219-0252,2019-04-29 06:00:00,3.642,3.674,248.42,249.33,250.21,7.66,4.06,4.69,50.03,0.436  Ld,5.17
SMR03-0219-0252,2019-04-29 05:00:00,5.279,5.322,247.77,248.76,249.47,10.24,5.17,5.98,50.04,0.986  Ld,5.17
SMR03-0219-0252,2019-04-29 04:00:00,5.284,5.324,246.07,247.23,248.04,10.33,5.23,6.04,50.09,0.986  Ld,5.17
SMR03-0219-0252,2019-04-29 03:00:00,5.275,5.315,242.83,243.89,244.95,10.4,5.29,6.09,50.02,0.987  Ld,5.17
SMR03-0219-0252,2019-04-29 02:00:00,5.264,5.302,241.33,242.34,243.19,10.45,5.33,6.14,50.04,0.986  Ld,5.17
SMR03-0219-0252,2019-04-29 01:00:00,5.255,5.293,237.87,238.72,239.9,10.57,5.41,6.23,50.1,0.987  Ld,5.17
SMR03-0219-0252,2019-04-29 00:00:00,5.245,5.282,235.24,236.02,237.43,10.6,5.45,6.27,50.05,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 23:00:00,5.223,5.26,236.84,237.76,238.51,10.38,5.38,6.23,50.06,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 22:00:00,5.227,5.264,239.69,240.89,241.74,10.4,5.32,6.15,49.96,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 21:00:00,5.215,5.254,238.13,239.64,240.16,10.46,5.39,6.23,50,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 20:00:00,5.035,5.075,236.11,237.67,238.13,9.83,5.49,5.9,49.98,0.985  Ld,5.17
SMR03-0219-0252,2019-04-28 19:00:00,0.524,0.528,240.37,241.23,241.88,0.79,0.37,0.37,50.12,0.811  Lag,5.17
SMR03-0219-0252,2019-04-28 18:00:00,0,0,242.97,243.8,244.4,0,0,0,50.04,--,5.17
SMR03-0219-0252,2019-04-28 17:00:00,0,0,244.8,245.63,246.17,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-28 16:00:00,0,0,246.19,246.93,247.47,0,0,0,50.11,--,5.17
SMR03-0219-0252,2019-04-28 15:00:00,0,0,248.78,249.59,250.06,0,0,0,50.12,--,5.17
SMR03-0219-0252,2019-04-28 14:00:00,0,0,250.32,251.08,251.59,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-28 13:00:00,0,0,249.41,250.42,251,0,0,0,50.1,--,5.17
SMR03-0219-0252,2019-04-28 12:00:00,0,0,249.58,250.69,251.15,0,0,0,50.1,--,5.17
SMR03-0219-0252,2019-04-28 11:00:00,0,0,249.3,250.06,250.56,0,0,0,50.15,--,5.17
SMR03-0219-0252,2019-04-28 10:00:00,0,0,248.47,249.14,249.87,0,0,0,50.08,--,5.17
SMR03-0219-0252,2019-04-28 09:00:00,0,0,249.91,250.48,251.21,0,0,0,50.09,--,5.17
SMR03-0219-0252,2019-04-28 08:00:00,0,0,250.49,251.16,251.78,0,0,0,50.03,--,5.17
SMR03-0219-0252,2019-04-28 07:00:00,0,0,248.58,249.29,250.04,0,0,0,50.1,--,5.17
SMR03-0219-0252,2019-04-28 06:00:00,3.603,3.637,246.74,247.93,248.78,7.31,4.18,4.48,50.05,0.462  Ld,5.17
SMR03-0219-0252,2019-04-28 05:00:00,5.024,5.069,246.51,247.57,248.56,9.66,5.23,5.61,50.06,0.985  Ld,5.17
SMR03-0219-0252,2019-04-28 04:00:00,5.126,5.166,245.13,246,247,9.92,5.27,5.64,50.12,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 03:00:00,5.076,5.113,241.66,242.51,243.55,10.04,5.36,5.75,50.08,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 02:00:00,5.067,5.103,239.02,239.98,240.62,10.08,5.39,5.79,50.04,0.987  Ld,5.17
SMR03-0219-0252,2019-04-28 01:00:00,5.052,5.087,235.89,236.9,237.54,10.19,5.46,5.88,50.06,0.986  Ld,5.17
SMR03-0219-0252,2019-04-28 00:00:00,5.044,5.079,233.65,234.36,235.28,10.23,5.5,5.92,49.96,0.987  Ld,5.17
SMR03-0219-0252,2019-04-27 23:00:00,5.031,5.064,233.1,234.42,235.07,10.25,5.52,5.94,50.06,0.987  Ld,5.17
SMR03-0219-0252,2019-04-27 22:00:00,5.028,5.062,232.5,233.78,234.46,10.26,5.5,5.91,50.07,0.986  Ld,5.17
SMR03-0219-0252,2019-04-27 21:00:00,5.012,5.046,234.13,235.52,236.1,10.02,5.47,5.88,50.11,0.986  Ld,5.17
SMR03-0219-0252,2019-04-27 20:00:00,4.827,4.866,235.18,236.41,236.96,9.42,5.53,5.93,50.14,0.986  Ld,5.17
SMR03-0219-0252,2019-04-27 19:00:00,0.561,0.565,239.68,240.62,241.13,0.82,0.41,0.41,50.14,0.795  Lag,5.17
